Nome, Valor, Tipo, Classificação
Gasto 2, 100.0, Passivo, Custo comercial
Gasto 3, 200.0, Ativo, Investimento
Gasto 4, 300.0, Ativo, Despesa
Gasto 5, 150.0, Passivo, Perda
Gasto 6, 240.0, Passivo, Investimento
Gasto 7, 355.5, Ativo, Custo industrial
Gasto 8, 1000.0, Passivo, Custo industrial
Gasto 9, 100.0, Passivo, Desembolso
Gasto 10, 200.0, Ativo, Desembolso
Gasto 11, 300.0, Ativo, Desembolso
Gasto 12, 150.0, Passivo, Desembolso
Gasto 13, 240.0, Ativo, Desembolso
Gasto 14, 355.5, Passivo, Desembolso
Gasto 15, 1000.0, Ativo, Desembolso
Fim dos gastos!

 Faturamento: 1000.00, Total de Ativos: 2095.50, Total de Passivos: 2595.50, Patrimônio Líquido: -500.00 
